threshold,sensitivity,specificity
-Inf,1,0
0.046043428,0.988906498,0.044841735
0.05248517,0.987321712,0.066822978
0.053861239,0.968304279,0.165005862
0.054475494,0.965134707,0.174970692
0.056683993,0.963549921,0.177315358
0.058995799,0.963549921,0.179660023
0.060348931,0.963549921,0.18024619
0.062245915,0.961965135,0.182883939
0.063717343,0.954041204,0.213364596
0.065352919,0.954041204,0.215416178
0.066545999,0.94770206,0.218640094
0.067108463,0.94770206,0.220691676
0.06811798,0.927099842,0.26905041
0.068881679,0.925515055,0.27080891
0.070084197,0.925515055,0.271101993
0.071425923,0.904912837,0.308323564
0.072226606,0.903328051,0.311254396
0.07375448,0.903328051,0.311547479
0.07579393,0.903328051,0.311840563
0.077023385,0.901743265,0.315650645
0.077486649,0.901743265,0.316529894
0.077736943,0.900158479,0.319167644
0.078241564,0.900158479,0.319460727
0.079074443,0.900158479,0.320339977
0.079475129,0.898573693,0.321512309
0.079879198,0.893819334,0.335580305
0.080580078,0.890649762,0.342321219
0.081099773,0.890649762,0.343200469
0.081925383,0.890649762,0.344665885
0.08309803,0.865293185,0.388921454
0.083823364,0.863708399,0.397713951
0.084208149,0.862123613,0.404161782
0.084672201,0.860538827,0.405041032
0.085021252,0.860538827,0.405334115
0.085726052,0.858954041,0.405920281
0.086550707,0.858954041,0.406799531
0.086907064,0.852614897,0.42936694
0.087907638,0.833597464,0.450468933
0.089196321,0.833597464,0.450762016
0.089888565,0.82725832,0.461899179
0.090175012,0.82725832,0.464536928
0.090504129,0.82725832,0.466295428
0.09104048,0.82725832,0.467467761
0.091454917,0.825673534,0.478311841
0.092927547,0.825673534,0.478604924
0.094490681,0.824088748,0.479777257
0.095307819,0.820919176,0.486225088
0.096085403,0.820919176,0.487104338
0.096871196,0.81933439,0.488569754
0.097660163,0.81933439,0.489742087
0.098234806,0.81933439,0.49003517
0.099080088,0.817749604,0.491207503
0.10006632,0.817749604,0.491500586
0.100879066,0.814580032,0.493552169
0.101470045,0.812995246,0.494724502
0.101926641,0.81141046,0.499706917
0.102155576,0.809825674,0.504982415
0.102293265,0.809825674,0.505568581
0.102615308,0.808240887,0.507327081
0.10307665,0.808240887,0.507620164
0.103354115,0.806656101,0.510550996
0.104006173,0.778129952,0.546307151
0.104893567,0.778129952,0.546600234
0.105410987,0.776545166,0.550996483
0.105646736,0.77496038,0.551289566
0.10612103,0.77496038,0.553341149
0.106642959,0.77496038,0.553634232
0.106785977,0.77496038,0.554220399
0.107746578,0.77496038,0.554806565
0.109097771,0.763866878,0.596424385
0.109926193,0.763866878,0.597889801
0.110366826,0.763866878,0.598475967
0.110563351,0.75911252,0.600820633
0.110809487,0.757527734,0.601113716
0.111502161,0.757527734,0.601992966
0.112396209,0.757527734,0.60873388
0.113247489,0.757527734,0.60961313
0.11390099,0.757527734,0.610199297
0.114356217,0.757527734,0.612250879
0.114812499,0.757527734,0.612543962
0.115168754,0.755942948,0.614888628
0.116142455,0.754358162,0.616354045
0.117274669,0.75118859,0.62045721
0.117949103,0.743264659,0.624267292
0.118313371,0.730586371,0.634525205
0.118522241,0.729001585,0.635111372
0.118783627,0.729001585,0.635697538
0.119308596,0.729001585,0.636283705
0.119992876,0.724247227,0.636283705
0.120521853,0.724247227,0.636869871
0.12137337,0.724247227,0.638335287
0.122281882,0.721077655,0.64126612
0.12276541,0.719492868,0.641852286
0.122980879,0.719492868,0.643024619
0.123250927,0.716323296,0.643610785
0.123738115,0.716323296,0.644490035
0.124226771,0.716323296,0.644783118
0.124498859,0.71473851,0.645955451
0.125818182,0.71473851,0.646248535
0.127249592,0.71473851,0.646541618
0.127638872,0.71473851,0.651524033
0.127917344,0.713153724,0.654161782
0.128140702,0.711568938,0.654454865
0.128476238,0.709984152,0.655334115
0.128700261,0.709984152,0.655920281
0.128868591,0.709984152,0.656213365
0.129828138,0.70681458,0.65855803
0.130732244,0.70681458,0.658851114
0.131073798,0.705229794,0.65943728
0.131587074,0.692551506,0.686400938
0.131872859,0.683042789,0.705744431
